20251023135649,113.39958453,29.54872248,0,198
20251023135650,113.39958448,29.54872243,0,299
20251023135651,113.39958471,29.54872231,0.1,87
20251023135652,113.39958778,29.54872151,1.1,117
20251023135653,113.39959495,29.54871886,2.1,108
20251023135654,113.39960243,29.54871631,2.8,109
20251023135655,113.39961206,29.54871205,3.4,114
20251023135656,113.39962105,29.54870871,3.4,109
20251023135657,113.39962894,29.54870571,2.9,112
20251023135658,113.39963436,29.54870421,2.5,105
20251023135659,113.39964186,29.54870160,2.8,110
20251023135700,113.39965071,29.54869861,3.1,112
20251023135701,113.39966019,29.54869585,3.3,109
20251023135702,113.39967018,29.54869276,3.6,111
20251023135703,113.39968066,29.54868885,3.7,113
20251023135704,113.39969133,29.54868555,4.4,102
20251023135705,113.39970230,29.54868143,4.4,104
20251023135706,113.39971378,29.54867641,3.7,110
20251023135707,113.39972543,29.54867228,4.8,114
20251023135708,113.39973770,29.54866745,4.5,106
20251023135709,113.39975018,29.54866330,4.3,109
20251023135710,113.39976278,29.54865886,4,116
20251023135711,113.39977266,29.54865613,3.3,105
20251023135712,113.39978156,29.54865333,3.4,105
20251023135713,113.39979260,29.54865046,3.9,110
20251023135714,113.39980550,29.54864815,7,107
20251023135715,113.39981910,29.54864525,5,109
20251023135716,113.39983253,29.54864221,3.9,101
20251023135717,113.39984255,29.54863840,3.5,111
20251023135718,113.39985250,29.54863648,3.3,102
20251023135719,113.39986026,29.54863466,2.5,102
20251023135720,113.39986406,29.54863415,1.5,107
20251023135721,113.39986338,29.54863284,1.2,165
20251023135722,113.39985715,29.54862685,1.9,205
20251023135723,113.39984918,29.54862881,4.4,338
20251023135724,113.39984466,29.54863825,3.9,331
20251023135725,113.39983576,29.54864370,4.1,308
20251023135726,113.39983025,29.54865100,2.2,321
20251023135727,113.39982418,29.54864928,3.8,264
20251023135728,113.39981486,29.54865433,4.3,312
20251023135729,113.39980758,29.54865616,2.1,267
20251023135730,113.39979918,29.54865735,3,280
20251023135731,113.39978881,29.54866000,3.5,285
20251023135732,113.39977858,29.54866245,3.6,285
20251023135733,113.39976853,29.54866568,3.6,294
20251023135734,113.39975840,29.54866948,3.7,289
20251023135735,113.39974716,29.54867325,4.2,292
20251023135736,113.39973536,29.54867751,4.4,291
20251023135737,113.39972375,29.54868170,4.5,292
20251023135738,113.39971153,29.54868613,4.4,286
20251023135739,113.39969860,29.54869055,3.7,291
20251023135740,113.39968558,29.54869481,4.6,290
20251023135741,113.39967253,29.54869888,4.8,289
20251023135742,113.39965984,29.54870336,5,289
20251023135743,113.39964625,29.54870780,5.3,292
20251023135744,113.39963263,29.54871255,5.8,285
20251023135745,113.39961910,29.54871788,4.7,288
20251023135746,113.39960541,29.54872286,5.1,290
20251023135747,113.39959221,29.54872806,4.6,298
